Operator	Operator Domain	Found URL	Final URL
Australian Unity		https://www.australianunity.com.au/assisted-living/retirement-communities/locations/victoria/victoria-grange?srsltid=AfmBOoovBU3Jh5-X1mRWTnnUoOQXq--C4-vE3d2ODhf56HIYdtvWiVtf	https://www.australianunity.com.au/assisted-living/retirement-communities/locations/victoria/victoria-grange?srsltid=AfmBOoovBU3Jh5-X1mRWTnnUoOQXq--C4-vE3d2ODhf56HIYdtvWiVtf
Keyton		https://keyton.com.au/home/our-villages/vic/burwood-terrace	https://keyton.com.au/home/our-villages/vic/burwood-terrace
Australian Unity		https://www.australianunity.com.au/?srsltid=AfmBOoqRGFKh6-N4vzZR3tS-OoTZUxp3Nv98AddAT9BCpT9VdvroNR7k	https://www.australianunity.com.au/?srsltid=AfmBOoqRGFKh6-N4vzZR3tS-OoTZUxp3Nv98AddAT9BCpT9VdvroNR7k
Calvary		https://www.calvarycare.org.au/retirement-living/calvary-balmoral-mews-geelong	https://www.calvarycare.org.au/retirement-living/calvary-balmoral-mews-geelong
Calvary		https://www.calvarycare.org.au/residential-aged-and-respite-care/calvary-barongarook-gardens	https://www.calvarycare.org.au/residential-aged-and-respite-care/calvary-barongarook-gardens
Calvary		https://www.calvarycare.org.au/about/privacy-and-policies	https://www.calvarycare.org.au/about/privacy-and-policies
Calvary		https://www.calvarycare.org.au/retirement-living/calvary-sydney-williams-doncaster-east	https://www.calvarycare.org.au/retirement-living/calvary-sydney-williams-doncaster-east
Keyton		https://keyton.com.au/	https://keyton.com.au/
Keyton		https://keyton-website-uat.keyton.com.au/home/blogs/a-vibrant-community-centre-for-lexington-gardens	https://keyton-website-uat.keyton.com.au/home/blogs/a-vibrant-community-centre-for-lexington-gardens
mecwacare		https://www.mecwacare.org.au/services/retirement-living/the-pines	https://www.mecwacare.org.au/services/retirement-living/the-pines
Canterbury Homes		https://canterburyhomes.org.au	https://canterburyhomes.org.au
VMCH		https://vmch.com.au/	https://vmch.com.au/
Lifestyle Communities		https://www.lifestylecommunities.com.au/	https://www.lifestylecommunities.com.au/
Lifestyle Communities		https://www.lifestylecommunities.com.au/	https://www.lifestylecommunities.com.au/
Carinya Lodge		https://www.carinyalodge.com.au	https://www.carinyalodge.com.au
Bolton Clarke		https://www.boltonclarke.com.au/living-options/retirement-living/casey-grange	https://www.boltonclarke.com.au/living-options/retirement-living/casey-grange
Australian Unity		https://www.australianunity.com.au/wellbeing/community-and-relationships/the-work-that-unites-us?srsltid=AfmBOopdGKGBCxkH1R4y_Z8amf-1cfTJqx44TUDLNMmkP4mdOsPWYDz5	https://www.australianunity.com.au/wellbeing/community-and-relationships/the-work-that-unites-us?srsltid=AfmBOopdGKGBCxkH1R4y_Z8amf-1cfTJqx44TUDLNMmkP4mdOsPWYDz5
Olivet		https://library.olivet.org.au/	https://library.olivet.org.au/
No operator		No website	No website
No operator		No website	No website
Ryman Healthcare		https://www.rymanhealthcare.com.au/retirement-villages/geelong/charles-brownlow	https://www.rymanhealthcare.com.au/retirement-villages/geelong/charles-brownlow
Aveo		https://www.aveo.com.au/retirement-villages/vic/melbourne/cherry-tree-grove/for-sale/	https://www.aveo.com.au/retirement-villages/vic/melbourne/cherry-tree-grove/for-sale/
Aveo		https://www.aveo.com.au/retirement-villages/vic/melbourne/cherry-tree-grove/	https://www.aveo.com.au/retirement-villages/vic/melbourne/cherry-tree-grove/
Ryman Healthcare		https://www.rymanhealthcare.com.au/	https://www.rymanhealthcare.com.au/
Australian Unity		https://www.australianunity.com.au/?srsltid=AfmBOooa9UuUPWndGx8E5y2mtIBexCPWFyEZraHXbQCJK3YtEmkH4Z9N	https://www.australianunity.com.au/?srsltid=AfmBOooa9UuUPWndGx8E5y2mtIBexCPWFyEZraHXbQCJK3YtEmkH4Z9N
Australian Unity		https://www.australianunity.com.au/?srsltid=AfmBOoo2FAW-4ZeRIml__d-T74vSlg2sW5EQtE-H5PotAlkyk7SwwkX_	https://www.australianunity.com.au/?srsltid=AfmBOoo2FAW-4ZeRIml__d-T74vSlg2sW5EQtE-H5PotAlkyk7SwwkX_
Australian Unity		https://www.australianunity.com.au/?srsltid=AfmBOorQhejw4276tEpBTOmtvq61WM2vuFq3vkJ6ntcH5PhoM--FWKjA	https://www.australianunity.com.au/?srsltid=AfmBOorQhejw4276tEpBTOmtvq61WM2vuFq3vkJ6ntcH5PhoM--FWKjA
Keyton		https://keyton.com.au/home/our-villages/vic/classic-residences	https://keyton.com.au/home/our-villages/vic/classic-residences
No operator		No website	No website
Centennial Living		https://centennialliving.com.au/	https://centennialliving.com.au/
Centennial Living		https://centennialliving.com.au/	https://centennialliving.com.au/
No operator		No website	No website
Cooinda Benalla		https://cooindabenalla.com.au	https://cooindabenalla.com.au
Aveo		https://www.aveo.com.au/retirement-villages/vic/melbourne/coral-mews	https://www.aveo.com.au/retirement-villages/vic/melbourne/coral-mews
Aveo		https://www.aveo.com.au/retirement-villages/nsw	https://www.aveo.com.au/retirement-villages/nsw
No operator		No website	No website
No operator		No website	No website
VMCH		https://retirement.vmch.com.au/our-communities/corpus-christi-clayton	https://retirement.vmch.com.au/our-communities/corpus-christi-clayton
No operator		No website	No website
No operator		No website	No website
Cumberland View		https://www.cumberlandview.com.au/our-village/	https://www.cumberlandview.com.au/our-village/
No operator		https://echucaca.com.au/independent-living	https://echucaca.com.au/independent-living
Euroa Health		https://euroahealth.com.au/	https://euroahealth.com.au/
Anglican / Benetas		https://www.benetas.com.au/village/dalkeith-heights	https://www.benetas.com.au/village/dalkeith-heights
No operator		No website	No website
No operator		https://www.unitingvictas.org.au/services/housing/retirement-villages	https://www.unitingvictas.org.au/services/housing/retirement-villages
No operator		No website	No website
No operator		No website	No website
Ryman Healthcare		https://www.rymanhealthcare.com.au/retirement-villages/bellarine-peninsula/deborah-cheetham	https://www.rymanhealthcare.com.au/retirement-villages/bellarine-peninsula/deborah-cheetham
Keyton		https://keyton.com.au/	https://keyton.com.au/
Keyton		https://keyton.com.au/	https://keyton.com.au/
Australian Unity		https://www.australianunity.com.au/assisted-living/retirement-communities/find	https://www.australianunity.com.au/assisted-living/retirement-communities/find
RCA Villages		No website	No website
No operator		No website	No website
Dunmunkle Lodge		https://dunmunklelodge.org.au	https://dunmunklelodge.org.au
No operator		No website	No website
No operator		https://www.eastwoodretirement.com.au	https://www.eastwoodretirement.com.au
No operator		https://www.ebenezervillage.org.au/about	https://www.ebenezervillage.org.au/about
Edgarley Home		https://www.edgarley.com.au/	https://www.edgarley.com.au/
Edith Bendall		https://edithbendall.org.au	https://edithbendall.org.au
Aveo		https://www.aveo.com.au/retirement-villages/vic/melbourne/edrington-park/	https://www.aveo.com.au/retirement-villages/vic/melbourne/edrington-park/
Aveo		https://www.aveo.com.au/retirement-villages/vic/melbourne/edrington-park/	https://www.aveo.com.au/retirement-villages/vic/melbourne/edrington-park/
No operator		No website	No website
